Corpus_position,Speaker_ID,Left_context,last_left,Match,Right_context,Cx,Lexeme,Futurate,Negative,Interrogative,Clause_structure,Clause_type,If-clause,Person,Animacy,left_more_context
285145,Lars_Joakim,ja hun,hun,skal,være med,skal,være,,affirmative,affirmative,simple,main,no,3rd,Animate,
285198,Ramsy,men jeg,jeg,vil,bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg vil ikke si at jeg vil gifte meg med deg,vil,si,,affirmative,affirmative,complex,main,no,1st,Animate,* ja * ja å ja ja # jammen # går ikke det greit da ? hæ ? går ikke det greit ? nei det er det vi # lurer på hva trur du jeg hadde sagt ? hm ? hva trur du jeg hadde sagt ? har ikke peiling * skal du være med og spille volleyball Anne Mona ? mm ja hun skal være med ok # men Ramsy skulle skrive eller ? ja jeg har ikke så mye * men da begynner vi ja bare begynn * Anne Mona ja kommer men ## uansett vet du # jeg hadde ikke kommet til å spurt nå eller et eller annet sånn nei men jeg vil bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg vil ikke si at jeg vil gifte meg med deg
285217,Ramsy,men jeg vil bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg,jeg,vil,ikke si at jeg vil gifte meg med deg,vil,si,,negative,affirmative,complex,main,no,1st,Animate,* ja * ja å ja ja # jammen # går ikke det greit da ? hæ ? går ikke det greit ? nei det er det vi # lurer på hva trur du jeg hadde sagt ? hm ? hva trur du jeg hadde sagt ? har ikke peiling * skal du være med og spille volleyball Anne Mona ? mm ja hun skal være med ok # men Ramsy skulle skrive eller ? ja jeg har ikke så mye * men da begynner vi ja bare begynn * Anne Mona ja kommer men ## uansett vet du # jeg hadde ikke kommet til å spurt nå eller et eller annet sånn nei men jeg vil bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg vil ikke si at jeg vil gifte meg med deg
285222,Ramsy,men jeg vil bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg vil ikke si at jeg,jeg,vil,gifte meg med deg,vil,gifte seg,,affirmative,affirmative,complex,sub,no,1st,Animate,* ja * ja å ja ja # jammen # går ikke det greit da ? hæ ? går ikke det greit ? nei det er det vi # lurer på hva trur du jeg hadde sagt ? hm ? hva trur du jeg hadde sagt ? har ikke peiling * skal du være med og spille volleyball Anne Mona ? mm ja hun skal være med ok # men Ramsy skulle skrive eller ? ja jeg har ikke så mye * men da begynner vi ja bare begynn * Anne Mona ja kommer men ## uansett vet du # jeg hadde ikke kommet til å spurt nå eller et eller annet sånn nei men jeg vil bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg vil ikke si at jeg vil gifte meg med deg
28539,Anette,nei da vet du hva dere,dere,kommer kanskje ikke til å,få se meg sånn som jeg var i_går _uforståelig_ så lenge jeg er her # det er veldig sjelden,kommer,få,fut,negative,affirmative,complex,sub,no,2nd,Animate,"ja når hun kommer ut med dyna og # holdt den talen ja * ja og var så lei det men det var jo ikke på grunn av henne det var ikke noe sånn derre på henne men jeg jeg vet ikke jeg syns sånne når det skjer sånne # intriger-ting på en måte så sitter jeg der og så holdt på jeg å få latterkrampe hvis jeg satt der og smilte tenkte jeg "" jeg håper jeg ikke blir filma nå at jeg sitter her med det gliset "" # så jeg måtte sitter slik da foran kvelden før så dreiv jo jeg og spurte Anette bare : "" det er ingenting "" for hvis du spør : "" ingenting "" ## og når du snakker med andre folk så * mm det var tøft av Anette å # hm ? * og brukte kanskje halve rommet for å komme meg av_gårde * å hva er det med deg da ? ikke noe hvorfor er du så glad da ? ja kan jeg ikke være glad da så skal jeg være sur da forbanna det har ... * hvofor skal du alltid være glad da ? nå er det fjorten dager til neste gang nei en uke fjorten dager hvorfor fjorten dager da ? en uke er for # en uka oj # en uke er for tidlig nei da vet du hva dere kommer kanskje ikke til å få se meg sånn som jeg var i_går så lenge jeg er her # det er veldig sjelden"
285417,Anita,ja men altså det er jo sikkert det her noe av det de,de,kommer til å,huske,kommer,huske,fut,affirmative,affirmative,complex,sub,no,3rd,Animate,"ja kommer men ## uansett vet du # jeg hadde ikke kommet til å spurt nå eller et eller annet sånn nei men jeg vil bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg vil ikke si at jeg vil gifte meg med deg * meg nei med gifte meg # med deg ## nå liksom eller ## ville bare si hadde ikke hatt noe imot det jævla ## jeg hadde faktisk sagt "" ja "" vi tenkte jo egentlig at jeg trudde nesten overraskelsen var liksom # hvert fall ho- kanskje hoppeslott men hvis ikke det så var det # grillpølser og det var noe med den noe kanskje drikke på et eller anna så faen meg Status Quo spiller låter i hagen det dritkult ## er sikkert den minste konserten de noengang har hatt før * ja det er dritfett * fy_faen ja det kan du banne spille konsert for åtte personer * ja de husker nok det her godt det er litt kult å tenke på at de husker oss like * må være veldig rart godt som vi husker dem * repertoaret var var ikke # de var ku- ... * nei de derre # de konsertene de har hatt på The Hammersmith Odeon med fem og seksti tusen mennesker det er jo bare piss i forhold ja men altså det er jo sikkert det her noe av det de kommer til å huske"
285432,Lars_Joakim,der det står hvilken låter og rekkefølge de,de,skal,spille de _latter_,skal,spille,,affirmative,affirmative,complex,sub,no,3rd,Animate,"men jeg vil bare si at jeg hadde har hadde ikke hatt noe imot å gifte meg med deg men jeg vil ikke si at jeg vil gifte meg med deg * meg nei med gifte meg # med deg ## nå liksom eller ## ville bare si hadde ikke hatt noe imot det jævla ## jeg hadde faktisk sagt "" ja "" vi tenkte jo egentlig at jeg trudde nesten overraskelsen var liksom # hvert fall ho- kanskje hoppeslott men hvis ikke det så var det # grillpølser og det var noe med den noe kanskje drikke på et eller anna så faen meg Status Quo spiller låter i hagen det dritkult ## er sikkert den minste konserten de noengang har hatt før * ja det er dritfett * fy_faen ja det kan du banne spille konsert for åtte personer * ja de husker nok det her godt det er litt kult å tenke på at de husker oss like * må være veldig rart godt som vi husker dem * repertoaret var var ikke # de var ku- ... * nei de derre # de konsertene de har hatt på The Hammersmith Odeon med fem og seksti tusen mennesker det er jo bare piss i forhold ja men altså det er jo sikkert det her noe av det de kommer til å huske settliste garantert der det står hvilken låter og rekkefølge de skal spille de"
285591,Rebekka,_trekker_pusten_ jammen meg,meg,skal,du ikke ha dårlig samvittighet over Anne Mona,skal,ha,mod,negative,affirmative,simple,main,no,2nd,Animate,"* må være veldig rart godt som vi husker dem * repertoaret var var ikke # de var ku- ... * nei de derre # de konsertene de har hatt på The Hammersmith Odeon med fem og seksti tusen mennesker det er jo bare piss i forhold ja men altså det er jo sikkert det her noe av det de kommer til å huske settliste garantert der det står hvilken låter og rekkefølge de skal spille de og de sa at de kom tilbake seinere òg "" ja da må dere komme på konserten vår også da "" da får vi VIP-billetter og backstage og hele pakka * ja ja ja ja ja det kan du banne på han som måtte pisse da ## han ene måtte jo pisse har de pissa på klosettet vårt ? nei jeg trur ikke han gjorde det for han så kameraene nei # ja de de spurte jo "" herregud åssen klarer dere det klarer dere å være normale og liksom sånn med alt det kamerastyret her "" # de burde jo hvert fall vært vant til det m men det er ting jeg har sagt innpå skrifterommet har jeg sagt ## jeg har # to dårlige samvittigheter på mitt l- liv ## og en dårlig samvittighet har jeg overfor Arild og en annen dårlig samvittighet har jeg overfor Rebekka har jeg sagt jammen meg skal du ikke ha dårlig samvittighet over Anne Mona"
285808,Anne_Mona,og da var det liksom med en gang så sier jeg herre fred,fred,skal,jeg hjelpe deg for han visste ikke så mye hvor han skulle hen med alt dette her # sier jeg herregud vi henger det opp på soverommet sier jeg ikke sant,skal,hjelpe,,affirmative,affirmative,simple,main,no,1st,Animate,
409546,Lars_Joakim,,,skal,vi si til ## at vi bare fyller n opp til kanten av kjeksen der # at det er én liksom,skal,si,,affirmative,affirmative,complex,main,no,1st,Animate,du som skal passe på ungen ja ## holder jeg meg hvert fall våken da ok ja skal vi begynne nå da da skal ikke da gjeld- hvis vi begynner nå så gjelder jo ikke de to isene du har spist ## ok de gjelder ikke men jeg kommer til å ta de med i det mitt siste regnestykke men de er ikke med liksom sånn nei det kan du jo ikke si enten er de med eller så er de ikke med ok da er dem jo så klart med vil jeg ja men da kan vi heller si at du ## du kan drive til halv tre da ja # skal vi gjøre det sånn # du får beholde de to isene og jeg får en halvtime ? du får en halvtime ekstra ? ja nå er klokka # # klokka er to ja ## nei jeg spiste mine på et kvarter da men du kan godt få en halvtime ## skal vi si mest på # ti timer da # e istedenfor tolv ## mest is på ti timer * ja ja det kan vi gjøre # fram til klokka tolv da ? ja det blir riktig gjør det ikke det ? jo # og meg fram til halv ett da ? er det ungen min ? that ' s all ## se ismaskin ja ismaskin ## den der kan bli din en dag se her ## kan ta dem ## ta den her litt da # ta n over nå det er huet som må passes på eller så begynner n bare å sutre * ok skal vi si til ## at vi bare fyller n opp til kanten av kjeksen der # at det er én liksom
286687,Ramsy,det det,det,skal,ikke skje igjen ## jeg skal prøve å ikke la det skje igjen ## men ## som sagt ## jeg er jo dyktig ## jeg er jo mannen blant menn _lydmalende_ord_ _handling_,skal,skje,fut,negative,affirmative,simple,main,no,3rd,Inanimate,
286693,Ramsy,det det skal ikke skje igjen ## jeg,jeg,skal,prøve å ikke la det skje igjen ## men ## som sagt ## jeg er jo dyktig ## jeg er jo mannen blant menn _lydmalende_ord_ _handling_,skal,prøve,fut,affirmative,affirmative,simple,main,no,1st,Animate,"men det blir liksom så teit å si # "" voksen alder "" da holdt på_si at ## din første # din første kjærlighet eller så det blir # din første BigBrother-kjærlighet den er # liksom den største holdt på_si ## som ## det blir liksom ja men uff # jeg blir jeg bl- jeg blir helt sånn matt jeg for det at det liksom sånn det blir sånn ## # n sier jeg liksom til deg du spør meg liksom # hm ## hva jeg følte liksom og om det var det var noe ordentlig jeg følte og det det var det liksom jeg vet jo # altså jeg vet at du gråt når jeg dro liksom jeg vet jo ikke noe om ## altså ## nei jeg har bare kunnet sitte og forestille meg jeg òg ikke sant jammen vet du hva ## jeg syns du var ## når du # kom tilbake # så dreiv du og rota i bagen din som hang over ## så sitter jeg og kikker etter smykket mitt der nede ## i bagen altså * gjorde du det ? mm ja * ja jeg har hatt det på meg mye også håpet jeg at det du ikke skulle bare ta det opp og så bare slenge det i trynet på meg ja også når du la deg i_går så bare tok du det på deg og så tenkte jeg "" ja # det var bra "" tenkte jeg ## da tenkte jeg det var dritbra * ja mm da sov du godt mm du gjorde det mm hm ja sånn passe nå har du kneppa opp buksa da # bare så du veit det ## # # lenge siden ja ok # til mitt forsvar ## jeg har drukket fem pils ## og jeg er mann ## hva er oddsa # ikke sant # oddsa er jo skyhøy ## det sier seg sjøl nesten ## ## det det skal ikke skje igjen ## jeg skal prøve å ikke la det skje igjen ## men ## som sagt ## jeg er jo dyktig ## jeg er jo mannen blant menn"
410198,Lars_Joakim,,,skal,du være sånn så firkanta da,skal,være,,affirmative,affirmative,simple,main,no,2nd,Animate,* | nei men unger gjør fugler # har du ikke sett de før de spiser de går ned med nebbet og så går de opp ja for at det det skal dette ned ## kan ikke ligge og drikke da # det er derfor du ammer de sånn * de skal ligge litt sånn hvorfor du ammer de de ligger sånn ## når du ammer de også skal må flaska stå opp for at det skal renne ut av flaska for de kan jo ikke suge opp av flaska sånn da ja altså var det feil det jeg gjorde da ? * sånn ja | sånn hæ ? var det feil det jeg gjorde da å legge flaska innpå munnen hans nei for de kan jo ikke suge opp av flaska * feil jammen e det er derfor du skal holde flaska opp hele tida * jammen skal du være sånn så firkanta da
286940,Lars_Joakim,ja skal vi ta avstemning da # eller er det noen fler som,som,vil,si et eller anna ?,vil,si,,affirmative,interrogative,complex,sub,no,3rd,Animate,kan du slå av lyset også ha opp døra ? ## er så sterkt lys Anita fikk du med deg det ? ja ## neimen ### gjett tre ganger da sove lenge * å være stille å ja ## jeg vet jo hva vi skal det er jo lørdag ja ## så er det bare å henge i stroppen ukesoppgave den gode gamle der ja ## men du må ha senderen da kommer du snart Anette ? ja vente til dere fått på dere senderen eller ? hundre prosent # ikke noe problem vi får sikkert e masse masse masse over * ja fire tusen per kunstverk mm tretti tusen kroner # for noe vi har laga # for alt vi vet kan vi få utdelt champagnekorker og knappenåler vi vet jo ikke hvem er det som gidder å kjøpe det da ? jammen du det er jo uansett samme hva det er * jammen det Rebekka tretti tusen for a good cause det er ikke mye i dag altså nei ## ikke noe problem ja skal vi ta avstemning da # eller er det noen fler som vil si et eller anna ?
286960,Rodney,_klipp_ var det den derre saken da hva vi,vi,skal,la det gå til,skal,la,,affirmative,affirmative,complex,sub,no,1st,Animate,## neimen ### gjett tre ganger da sove lenge * å være stille å ja ## jeg vet jo hva vi skal det er jo lørdag ja ## så er det bare å henge i stroppen ukesoppgave den gode gamle der ja ## men du må ha senderen da kommer du snart Anette ? ja vente til dere fått på dere senderen eller ? hundre prosent # ikke noe problem vi får sikkert e masse masse masse over * ja fire tusen per kunstverk mm tretti tusen kroner # for noe vi har laga # for alt vi vet kan vi få utdelt champagnekorker og knappenåler vi vet jo ikke hvem er det som gidder å kjøpe det da ? jammen du det er jo uansett samme hva det er * jammen det Rebekka tretti tusen for a good cause det er ikke mye i dag altså nei ## ikke noe problem ja skal vi ta avstemning da # eller er det noen fler som vil si et eller anna ? hundre prosent hundre var det den derre saken da hva vi skal la det gå til
287048,Rodney,for det er det det for hvis folk,folk,skal,kjøpe det og det skal auksjoneres bort så trur jeg ## det bør være litt med litt sånn,skal,kjøpe,,affirmative,affirmative,complex,sub,if,3rd,Animate,hundre var det den derre saken da hva vi skal la det gå til * det er det vi må bestemme nå mm innen klokka to Mot hva er det da ? Mot rasisme heter det bare Mot ? ja ok nei god idé jo kjempegod idé e om noen for narkotika ? ja gi det til purken Unicef # ja ja noe sånn derre Redd_Barna eller et eller annet # et eller annet med barn * ja et eller annet med litt sånn tyngde bak ja for det er det det for hvis folk skal kjøpe det og det skal auksjoneres bort så trur jeg ## det bør være litt med litt sånn
287053,Rodney,for det er det det for hvis folk skal kjøpe det og det,det,skal,auksjoneres bort så trur jeg ## det bør være litt med litt sånn,skal,auksjoneres,,affirmative,affirmative,complex,sub,if,3rd,Inanimate,hundre var det den derre saken da hva vi skal la det gå til * det er det vi må bestemme nå mm innen klokka to Mot hva er det da ? Mot rasisme heter det bare Mot ? ja ok nei god idé jo kjempegod idé e om noen for narkotika ? ja gi det til purken Unicef # ja ja noe sånn derre Redd_Barna eller et eller annet # et eller annet med barn * ja et eller annet med litt sånn tyngde bak ja for det er det det for hvis folk skal kjøpe det og det skal auksjoneres bort så trur jeg ## det bør være litt med litt sånn
287160,Rebekka,* jo det er sant # Røde Kors,Kors,kommer i- kanskje ikke til å,merke de tretti tusen _trekker_pusten_,kommer,merke,fut,negative,affirmative,simple,main,no,3rd,Animate,nei god idé jo kjempegod idé e om noen for narkotika ? ja gi det til purken Unicef # ja ja noe sånn derre Redd_Barna eller et eller annet # et eller annet med barn * ja et eller annet med litt sånn tyngde bak ja for det er det det for hvis folk skal kjøpe det og det skal auksjoneres bort så trur jeg ## det bør være litt med litt sånn * noe i_hvert_fall som går mo- retta mot barn og ungdom ## syns jeg jeg sier Redd_Barna # og så kan jeg gå og legge meg igjen ja ## ok Redd_Barna Mot bare gi det til Røde Kors da ? ja det syns jeg var bra det g- det er retta mot alle og inn og utland * får ikk- får ikke de så jævlig mye penger fra før av da ## de får jo blir jo subsidiert faen meg i huet og ræva * jo det er sant # Røde Kors kommer i- kanskje ikke til å merke de tretti tusen
