Corpus_position,Speaker_ID,Left_context,last_left,Match,Right_context,Cx,Lexeme,Futurate,Negative,Interrogative,Clause_structure,Clause_type,If-clause,Person,Animacy,left_more_context
100152,Per_Morten,det står iallfall ikke USSR på n så det er vel ##,,skal,vi sette n her,skal,sette,,affirmative,affirmative,simple,main,no,1st,Animate,"| pang sa det # "" "" så smalt ja # "" "" # og hun # faen # borte var n | sett e åpningen på munnen foran | bare plukker sånne dreads fra gjerdet og sånn |ja en dread du vi kjenner n ikke kanskje han er i_stand til å gjøre det vet vi jo ikke | nei du se nå flyr n over gjerdet her | | han går og ordner også ja ja | hey are you looking for trouble * ja han er dritkald han er jo så kald og tung vi må ta n to da hvis du vipper den ned til meg så det står iallfall ikke USSR på n så det er vel ## skal vi sette n her"
1002,Trond,* _uforståelig_ jeg,jeg,skal,ikke si at du # gjør det,skal,si,,negative,affirmative,complex,main,no,1st,Animate,"* og så gå nei men du altså faen men det var jo ikke noe alvorlige greier det da # men du altså herregud er det noe å henge seg opp da * ja ja men det ja når folk står utafor her og skriker det så er det det skriker ? * nei da har ikke noe å si vil du ha mer kaffe eller Trond ? folk som e s- seere som står utafor huset her og skriker "" Lars er hypp på Anette "" * nei takk nei # gjorde dem det # da er det noe gærent # da føler jeg ok # den er mottatt nå er det nå er det tid for å gå i skrifterommet ja altså men det har har jo vært fra dag en her da at du har # ja hva skal jeg si da sverma rundt hun og lekeslåss og # stanga og hevet deg over hun i sofaen og liksom sånn ja men vil det si at jeg l- # liker a ? ja altså hvis du ikke liker en person så holder du deg langt unna nei nei nei jo * jo jo du orker ikke å ## du orker ikke å gå sånn og * jeg skal ikke si at du # gjør det"
100339,Lars_Joakim,_latter_ hva er det som er så gæ- # hva er det som er så gærent med at jeg # sa hva jeg fikk # jeg,jeg,skal,ikke si noe _uforståelig_,skal,si,,negative,affirmative,simple,main,no,1st,Animate,
100443,Rebekka,kan ikke jeg bare få prøve et par sånne fram og tilbake med han # dritten der ##,,skal,vi se om det er noe tæl i n,skal,se,,affirmative,affirmative,simple,main,no,1st,Animate,nei nå er vi kreative kunne vært i_hvert_fall # sånn ## ok gjør ikke noe om den er litt # slapp sånn ? * den litt # ja ja nei funker det det var bra nå er jeg klar ok det var en nå er det en null til # en en null en en til da nei ok ## den greier vi hva er det som er så gæ- # hva er det som er så gærent med at jeg # sa hva jeg fikk # jeg skal ikke si noe du bare # ok # jeg syns vi var dårlig nå # så sier du ## hva er vitsen med det da # oj hei går det bra ? ja det gjorde den har stått der siden du gikk ut for å spille fotball i_stad ## gikk og henta en øl og så ble gikk du ut hvor blir det av han derre Morten da det var det var venninna di som kunne det kan ikke jeg bare få prøve et par sånne fram og tilbake med han # dritten der ## skal vi se om det er noe tæl i n
110487,Anette,,,skal,du legge deg ute ?,skal,legge,,affirmative,interrogative,simple,main,no,2nd,Animate,gjør det så slipper du sånn derre bråhard start altså jeg har så vondt at e tar du femten på rolig tempo ... jeg veit ikke om noen ville våkne jeg # eller vekkes nei må La- Lars ville at Anette skulle # sykle før han da # betyr vel at hun må på om et kvarter igjen da mm dra av a dyna # sånn som jeg prøvde * mm m sykler Anne Mona nå m ## uff fy fader altså hæ ? er så trøtt trøtt nå jenta ? mm ferdig mm og du skal legge deg ute du eller ? hm skal du legge deg ute ?
113826,Anette,,,skal,bare spørre meg om noe,skal,spørre,,affirmative,affirmative,simple,main,no,1st,Animate,hva du ville hatt ? # e # tjue ildere for alltid uten bur # eller suge min hestekukk i # ildere for alltid så lenge jeg lever ? * nei du skal ha tjue ildere uten dritskål # og uten bur ja når de dør så får du nye # tjue # resten av livet * jepp ja jeg vil ha det og så eller sug min hestekukk i ti sekunder nei jeg ville hatt ilder med kondom nei ja for dere har nemlig ikke sagt noe om hvor jeg skal ha de jeg kan ha de i et hus mye på utsiden # nei du kan ikke lage nei da må d- nei nei nei * nei du må ha dem leiligheten * jo det var sånn spørsmålet var ikke sant det ? nei nei du må si reglene etter hvert * jo kan du komme etterpå ? ja men jeg har e- ei siste * hæ ? * ja skal bare spørre meg om noe
128586,Anette,takk,,skal,dere ha alle sammen,skal,ha,,affirmative,affirmative,simple,main,no,2nd,Animate,"jo jo jo gjorde jeg vel ikke ikke du hadd- # hadde ikke penisen framme men du dro n helt ned til # til starten på penis * jo # du gjorde det * ja når da stod midt på gulvet der og gjorde det mm # så der du ... hæ ? * du dro jeg ned buksene ? ja så sa du # "" skal dere ha så får dere ta "" # det var harry kom kan jeg ta det bort eller ok ok # én # to # tre gratulerer med da ' n # gratulerer med da ' n # gratulerer Anette gratulerer med da ' n # hurra # hurra # hurra # * # * å gud | gratulerer med dagen takk skal dere ha alle sammen"
128608,Anette,takk,,skal,du ha _uforståelig_ _latter_ # av Lars,skal,ha,,affirmative,affirmative,simple,main,no,2nd,Animate,
131695,Anette,,,skal,vi legge oss her da _uforståelig_,skal,legge,,affirmative,affirmative,simple,main,no,1st,Animate,
101144,Lars_Joakim,så ? # så hva for noe ? #,,vil,du fly ?,vil,fly,,affirmative,interrogative,simple,main,no,2nd,Animate,
101242,Anette,oi sorry # jeg visste ikke dere var her jeg,jeg,skal,bare ha noe som tilhører Lars,skal,ha,,affirmative,affirmative,complex,sub,no,1st,Animate,hva er det med deg da ? * det er ikke rart du er rolig ellers du har # du får sånne utbrudd og da # god # damn * sånn ja # * jeg får ikke puste * au * nei jeg lover deg hvis jeg blir d- så ? # så hva for noe ? # vil du fly ? rydd opp da * ok baby boy rydd opp da # du må rydde opp etter deg nei du har jo potet overalt her jo # ## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars
101324,Anette,fy_faen _uforståelig_ _latter_ fy_faen han har tatt alle bh-ene mine så,så,skal,jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch,skal,plage,,affirmative,affirmative,simple,main,no,1st,Animate,* au * nei jeg lover deg hvis jeg blir d- så ? # så hva for noe ? # vil du fly ? rydd opp da * ok baby boy rydd opp da # du må rydde opp etter deg nei du har jo potet overalt her jo # ## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch
101352,Lars_Joakim,* _synging_ # ok jeg f-,f-,skal,vise dem at den ikke er oppi der,skal,vise,,affirmative,affirmative,complex,main,no,1st,Animate,jeg lover deg hvis jeg blir d- så ? # så hva for noe ? # vil du fly ? rydd opp da * ok baby boy rydd opp da # du må rydde opp etter deg nei du har jo potet overalt her jo # ## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der
101366,Lars_Joakim,hvis du går litt unna,unna,skal,jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted,skal,vise,,affirmative,affirmative,complex,main,if,1st,Animate,så ? # så hva for noe ? # vil du fly ? rydd opp da * ok baby boy rydd opp da # du må rydde opp etter deg nei du har jo potet overalt her jo # ## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der hvis du går litt unna skal jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted
101396,Anette,driter i det jeg,jeg,skal,ha noe som tilhører deg jeg # sånn at jeg skal b- bytte # sånn at du ikke,skal,ha,,affirmative,affirmative,simple,main,no,1st,Animate,* ok baby boy rydd opp da # du må rydde opp etter deg nei du har jo potet overalt her jo # ## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der hvis du går litt unna skal jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted * nei jeg driter i det jeg skal ha noe som tilhører deg jeg # sånn at jeg skal b- bytte # sånn at du ikke
101407,Anette,driter i det jeg skal ha noe som tilhører deg jeg # sånn at jeg,jeg,skal,b- bytte # sånn at du ikke,skal,bytte,,affirmative,affirmative,complex,sub,no,1st,Animate,* ok baby boy rydd opp da # du må rydde opp etter deg nei du har jo potet overalt her jo # ## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der hvis du går litt unna skal jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted * nei jeg driter i det jeg skal ha noe som tilhører deg jeg # sånn at jeg skal b- bytte # sånn at du ikke
101441,Lars_Joakim,å herregud er det det beste ? # toalettmappa jeg har jo tannbørste og alt der # hva er du leter etter # hva er du,du,skal,ha her # hæ ?,skal,ha,,affirmative,affirmative,simple,main,no,2nd,Animate,rydd opp da # du må rydde opp etter deg nei du har jo potet overalt her jo # ## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der hvis du går litt unna skal jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted * nei jeg driter i det jeg skal ha noe som tilhører deg jeg # sånn at jeg skal b- bytte # sånn at du ikke å herregud er det det beste ? # toalettmappa jeg har jo tannbørste og alt der # hva er du leter etter # hva er du skal ha her # hæ ?
10147,Anette,_trekker_pusten_ hva,hva,skal,jeg si her har man jo kanskje søskenbarn og familie som bor i andre steder av landet og at det blir litt sånn at dere er mer samla på en måte at dere _trekker_pusten_ at det er større familier per hus og sånn ?,skal,si,,affirmative,affirmative,simple,main,no,1st,Animate,
101489,Lars_Joakim,* nei * nei,nei,skal,vi gå gjennom det sammen ?,skal,gå,,affirmative,interrogative,simple,main,no,1st,Animate,## bare vent # ikke vet skal jeg tatt tak i ballene dine og # klemme så du ikke kan gå på fjorten dager * # * tenk hvis jeg ikke har noen da nei det er ikke sikkert det har ikke falt meg inn * nei Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der hvis du går litt unna skal jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted * nei jeg driter i det jeg skal ha noe som tilhører deg jeg # sånn at jeg skal b- bytte # sånn at du ikke å herregud er det det beste ? # toalettmappa jeg har jo tannbørste og alt der # hva er du leter etter # hva er du skal ha her # hæ ? * * å du er redd for det eller ? # jo du har vært så omhyggelig jeg har prøvd og tatt den nå er det et eller annet du skjuler hva er det ? * nei * nei skal vi gå gjennom det sammen ?
146705,Anette,det,,skal,jeg gjøre snart òg,skal,gjøre,,affirmative,affirmative,simple,main,no,1st,Animate,give me five da * der ligger det noe # der_borte | hvem som har rappa arket mitt da | it wasn ' t me kan du kile meg ? du er som en unge i dag * ja jeg vil jeg vil kiler ### kan du ikke kile da ? # er så trøtt e her kanskje på | nei jeg har de her | ok skal jeg kile deg nei ikke sånn kile # nei # ikke sånn # ikke sånn kile # kil sånn * spille piano det er så kjedelig ja det er deilig for meg jeg kan kile deg etterpå jeg du # vi har fått en ny i studio # de # forteller om # de * de skal fortelle en fascinerende historie it wasn ' t me jeg vil være sistemann ut husk i- # ikke glem dere og knørv papiret og kast det her nå nei jeg må børste tenner og gå og legge meg jeg altså det skal jeg gjøre snart òg
101515,Anette,eller først så,så,skal,jeg ha m- ja greit,skal,ha,,affirmative,affirmative,simple,main,no,1st,Animate,Lars har ingen baller oi sorry # jeg visste ikke dere var her jeg skal bare ha noe som tilhører Lars trur du jeg har lagt det ved mine ting ? ## tror du jeg virkelig har lagt det ved mine ting ? * det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der hvis du går litt unna skal jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted * nei jeg driter i det jeg skal ha noe som tilhører deg jeg # sånn at jeg skal b- bytte # sånn at du ikke å herregud er det det beste ? # toalettmappa jeg har jo tannbørste og alt der # hva er du leter etter # hva er du skal ha her # hæ ? * * å du er redd for det eller ? # jo du har vært så omhyggelig jeg har prøvd og tatt den nå er det et eller annet du skjuler hva er det ? * nei * nei skal vi gå gjennom det sammen ? skal vi gå gjennom den sammen ? ja ja ok kom og sett deg ved stuebordet eller først så skal jeg ha m- ja greit
101528,Lars_Joakim,nei ok vi,vi,skal,gjøre det sammen,skal,gjøre,,affirmative,affirmative,simple,main,no,1st,Animate,* det driter jeg i ## # fat chance * sånn sånn nå får du prøve å l- ta opp koden da så_som jeg har programmert en ny kode jeg ville ikke ha den alle andre har * fy_faen fy_faen han har tatt alle bh-ene mine så skal jeg plage han så har n laga kode på kofferten sin altså # you fat big # son of a bitch * # ok jeg f- skal vise dem at den ikke er oppi der hvis du går litt unna skal jeg vise dem ikke er oppi der ## jeg har ikke putta bh-en i kofferten jeg vet om et mye bedre sted * nei jeg driter i det jeg skal ha noe som tilhører deg jeg # sånn at jeg skal b- bytte # sånn at du ikke å herregud er det det beste ? # toalettmappa jeg har jo tannbørste og alt der # hva er du leter etter # hva er du skal ha her # hæ ? * * å du er redd for det eller ? # jo du har vært så omhyggelig jeg har prøvd og tatt den nå er det et eller annet du skjuler hva er det ? * nei * nei skal vi gå gjennom det sammen ? skal vi gå gjennom den sammen ? ja ja ok kom og sett deg ved stuebordet eller først så skal jeg ha m- ja greit ok slipp du nei nei ok vi skal gjøre det sammen
101677,Anette,* skal jeg,jeg,skal,jeg fortelle deg en ting ? # nei men hør her # skal jeg forte- # Morten # skal jeg fortelle deg en det Roy sa i_stad vet du,skal,fortelle,,affirmative,interrogative,simple,main,no,1st,Animate,
101696,Anette,* skal jeg skal jeg fortelle deg en ting ? # nei men hør her # skal jeg forte- # Morten #,,skal,jeg fortelle deg en det Roy sa i_stad vet du,skal,fortelle,,affirmative,affirmative,simple,main,no,1st,Animate,* nei jo kom # ok vi kan gjøre det sammen hvis du finner den # kapsen det er cap-en # cap-en er der # cap-en er # der ## * hva er det da ? du irriterte jenter oppfører seg ikke sånn # det er ikke-irriterte jenter sier jeg jeg syns det er moro # du er en sjuk faen du er faen meg sjuk i hodet vet du kiss me baby kiss me baby yeah # come on baby * come on * you sick son of a bitch * yeah ba- oh yeah baby # oh # * ok ok å du lukter godt smil til kameraet jeg lover deg jeg slipper n aldri Lars jeg lover deg yes # I did it * skal jeg skal jeg fortelle deg en ting ? # nei men hør her # skal jeg forte- # Morten # skal jeg fortelle deg en det Roy sa i_stad vet du
101775,Anette,at det var dumt natta _latter_ dumt også vedde noe om det # for det at han liker erte alt nei nei vet du hva det er bullshit jeg fikk rett,rett,skal,jeg fortelle deg en ting,skal,fortelle,,affirmative,affirmative,simple,main,no,1st,Animate,
101858,Anette,jeg lover deg # til onsdagen du ikke har fått meg irritert det,det,kommer til å,være et sinnssykt nederlag for deg,kommer,være,fut,affirmative,affirmative,complex,main,if,3rd,Inanimate,* hva er det da ? du irriterte jenter oppfører seg ikke sånn # det er ikke-irriterte jenter sier jeg jeg syns det er moro # du er en sjuk faen du er faen meg sjuk i hodet vet du kiss me baby kiss me baby yeah # come on baby * come on * you sick son of a bitch * yeah ba- oh yeah baby # oh # * ok ok å du lukter godt smil til kameraet jeg lover deg jeg slipper n aldri Lars jeg lover deg yes # I did it * skal jeg skal jeg fortelle deg en ting ? # nei men hør her # skal jeg forte- # Morten # skal jeg fortelle deg en det Roy sa i_stad vet du dårlig det er så dårlig forsøk vet du # det er det er så det var det teiteste | * natta om at det var dumt å natta Monika * lykke til natta * hæ ? at det var dumt natta dumt også vedde noe om det # for det at han liker erte alt nei nei vet du hva det er bullshit jeg fikk rett skal jeg fortelle deg en ting du skulle sett han borte i_stad det er akkurat som han f- # tok ut alt sinne # alt aggresjonen fordi at j- at han ikke hadde fått meg irritert så begynte n å bite av poteter oppi søpla så bare # lot n det dette ned på meg # helt sjuk altså så ut som en psykopat # helt fjern i ansiktet jeg lover deg # til onsdagen du ikke har fått meg irritert det kommer til å være et sinnssykt nederlag for deg
102371,Rodney,jeg hadde blitt irritert # hun,hun,kommer til å,bli irritert det skal jeg love deg # før eller siden så blir a,kommer,bli,fut,affirmative,affirmative,simple,main,no,3rd,Animate,hvorfor ville du ikke turt det med de andre da ? * nei for jeg hadde blitt irritert på alle de andre # men ikke på deg jeg vet ikke hvorfor Lars det er bare ett eller annet med deg som gjør at jeg * hvorfor det ? * # sånn ikke sånn lillebror men sånn jeg har # du minner meg sånn om noen jeg ... åssen kan de andre få deg irritert og ikke jeg da plaga når du var mindre shit hva skjedde ? nei var ikke plaga når jeg var mindre men som jeg har hatt e # som jeg bare ser på som morsomme liksom # jeg bare syns det er søtt når du prøver å liksom * * syns du det var morsomt sånn som å stjele BH-ene og underbuksene tror du ikke jeg klarer å gå uten truser i d- to dager du eller ? BH-er det er ikke noe d- # jeg bryr meg ikke noe om det hva er det de andre kan få deg ut på da ? satte den foran der og tok kapsen min og sånn jeg gidder ikke å gå og plukke det opp en gang ikke sant * jeg bare bruker den her i # to dag- hæ ? # hva sa du ? ja åssen var det de andre får deg åssen er det de andre får deg irritert da ? # åssen er det de andre hadde klart det ? ja det er mange som klarer u- a- uten at jeg sier noe men e # allikevel hvis du trur du klarer det Anette så støtter jeg deg jeg hadde blitt irritert # hun kommer til å bli irritert det skal jeg love deg # før eller siden så blir a
102377,Rodney,jeg hadde blitt irritert # hun kommer til å bli irritert det,det,skal,jeg love deg # før eller siden så blir a,skal,love,,affirmative,affirmative,simple,main,no,1st,Animate,hvorfor ville du ikke turt det med de andre da ? * nei for jeg hadde blitt irritert på alle de andre # men ikke på deg jeg vet ikke hvorfor Lars det er bare ett eller annet med deg som gjør at jeg * hvorfor det ? * # sånn ikke sånn lillebror men sånn jeg har # du minner meg sånn om noen jeg ... åssen kan de andre få deg irritert og ikke jeg da plaga når du var mindre shit hva skjedde ? nei var ikke plaga når jeg var mindre men som jeg har hatt e # som jeg bare ser på som morsomme liksom # jeg bare syns det er søtt når du prøver å liksom * * syns du det var morsomt sånn som å stjele BH-ene og underbuksene tror du ikke jeg klarer å gå uten truser i d- to dager du eller ? BH-er det er ikke noe d- # jeg bryr meg ikke noe om det hva er det de andre kan få deg ut på da ? satte den foran der og tok kapsen min og sånn jeg gidder ikke å gå og plukke det opp en gang ikke sant * jeg bare bruker den her i # to dag- hæ ? # hva sa du ? ja åssen var det de andre får deg åssen er det de andre får deg irritert da ? # åssen er det de andre hadde klart det ? ja det er mange som klarer u- a- uten at jeg sier noe men e # allikevel hvis du trur du klarer det Anette så støtter jeg deg jeg hadde blitt irritert # hun kommer til å bli irritert det skal jeg love deg # før eller siden så blir a
102549,Roy,kanskje vi,vi,skal,sette den oppi der isteden,skal,sette,,affirmative,affirmative,simple,main,no,1st,Animate,"åssen er det de andre får deg irritert da ? # åssen er det de andre hadde klart det ? ja det er mange som klarer u- a- uten at jeg sier noe men e # allikevel hvis du trur du klarer det Anette så støtter jeg deg jeg hadde blitt irritert # hun kommer til å bli irritert det skal jeg love deg # før eller siden så blir a nei han bryr seg ikke noe om det jo_da # han drikker e litt nei den pøbelen jo ja han er skikkelig ja hvis han hører det nok ganger at du sier "" nei "" # og du bærer n vekk # så forstår n at han ikke får lov mm så det tror jeg bare være tålmodig men jeg tror han syns det er dritkult også # ta en sånn stor tønne nei # nei # sånn e som han må liksom opp og # ned i å drikke i # det virker som det er litt sånn gjevt ja det er litt e kulere ja det kan vi jo lage til n da syns det tror n syns det er kjedelig med sånn vanlig skål er det n prøver på ? han # han # se på n # jeg tipper han har litt dårlig syn jeg for være helt ærlig han har det kanskje vi skal sette den oppi der isteden"
150798,Anette,,,skal,du stå har du tenkt å stå her og kaste helt _uforståelig_,skal,stå,,affirmative,affirmative,simple,main,no,2nd,Animate,
153238,Anette,nå,,skal,jeg ha håndkrem,skal,ha,,affirmative,affirmative,simple,main,no,1st,Animate,"* ja jeg kan jeg kan nei nei nei nei ja litt i forhold til hva # prioritet har vært i de siste to dagene men jeg skal lære deg en lek # er du klar ? hva da ? jeg kaller den "" likevektsleken "" ok funnet på selv ja når jeg slår deg der så må du slå deg på andre sida der ## når jeg slår deg sånn * nei jeg liker ikke sånne leker # spør om hun vil være med * jo e nei # kom igjen ## det er bare deg jeg liker å leke med med dette ## ta og slå deg der jeg kan slå deg der isteden * ja da må jeg gjøre sånn ## så må du slå deg der eller sparke sånn nei nei kom igjen # kom igjen Anette kanskje i_morgen er jeg i humør til det men ikke i dag åffer ikke ? nå skal jeg ha håndkrem"
102921,Roy,den setter vi bare litt lenger fram for vi,vi,skal,bare ha n her inne på grunn av # kilometertelleren,skal,ha,,affirmative,affirmative,complex,sub,no,1st,Animate,"* ja mm "" men dere er jo helt sprengt "" * dere er jo helt sprengt vi i Oslo vi veit jo det her han faren min er fra Kristiansund han kan # lage det ålesundere hater moldensere og kristiansundere ja fordi det er nordmøringer # kristiansundere * ja ja nei me- b- kristiansundere er ikke så ille men jeg hater moldensere # for meg kunne vi sprengt hele Molde til helvete det hadde ikke gjort meg noe som helst * jeg håpet det håpet det skulle skje på julaften for da var alle moldenserne hjemme # så fikk tatt både Molde og folka he # ja Molde var jo eller Molde er ikke de hyggelig de da jeg har vært på jazzfestival der og sånn jeg syns det er ålreit * * nei * hyggelig de er helt sprengt faen meg hatt nakkeskudd alle sammen * allerede ? hva gjør jeg nå da da ? den setter vi bare litt lenger fram for vi skal bare ha n her inne på grunn av # kilometertelleren"
102934,Roy,_uforståelig_ vi,vi,skal,si fra når vi nærmer oss tusen uansett,skal,si,,affirmative,affirmative,simple,main,no,1st,Animate,"ja mm "" men dere er jo helt sprengt "" * dere er jo helt sprengt vi i Oslo vi veit jo det her han faren min er fra Kristiansund han kan # lage det ålesundere hater moldensere og kristiansundere ja fordi det er nordmøringer # kristiansundere * ja ja nei me- b- kristiansundere er ikke så ille men jeg hater moldensere # for meg kunne vi sprengt hele Molde til helvete det hadde ikke gjort meg noe som helst * jeg håpet det håpet det skulle skje på julaften for da var alle moldenserne hjemme # så fikk tatt både Molde og folka he # ja Molde var jo eller Molde er ikke de hyggelig de da jeg har vært på jazzfestival der og sånn jeg syns det er ålreit * * nei * hyggelig de er helt sprengt faen meg hatt nakkeskudd alle sammen * allerede ? hva gjør jeg nå da da ? den setter vi bare litt lenger fram for vi skal bare ha n her inne på grunn av # kilometertelleren vi skal si fra når vi nærmer oss tusen uansett"
102977,Roy,vi sk- vi,vi,skal,ha begge to stående # vi bare har den stående på grunn av kilometertelleren # så bare sier vi fra når vi nærmer oss tusen til sammen,skal,ha,,affirmative,affirmative,simple,main,no,1st,Animate,ålesundere hater moldensere og kristiansundere ja fordi det er nordmøringer # kristiansundere * ja ja nei me- b- kristiansundere er ikke så ille men jeg hater moldensere # for meg kunne vi sprengt hele Molde til helvete det hadde ikke gjort meg noe som helst * jeg håpet det håpet det skulle skje på julaften for da var alle moldenserne hjemme # så fikk tatt både Molde og folka he # ja Molde var jo eller Molde er ikke de hyggelig de da jeg har vært på jazzfestival der og sånn jeg syns det er ålreit * * nei * hyggelig de er helt sprengt faen meg hatt nakkeskudd alle sammen * allerede ? hva gjør jeg nå da da ? den setter vi bare litt lenger fram for vi skal bare ha n her inne på grunn av # kilometertelleren vi skal si fra når vi nærmer oss tusen uansett ja * ja null åtte # veit du hva sykler til ti # på # på # god damn told you ja hva er som skjer med vi sk- vi skal ha begge to stående # vi bare har den stående på grunn av kilometertelleren # så bare sier vi fra når vi nærmer oss tusen til sammen
